horizonte,posicao_encoder,posicao_relativa_horas,rotulo_posicao,peso_medio
10,37,-10,t-10,0.020972920581698418
10,38,-9,t-9,0.02098464034497738
10,39,-8,t-8,0.02099626325070858
10,40,-7,t-7,0.021013054996728897
10,41,-6,t-6,0.02103884518146515
10,42,-5,t-5,0.021074771881103516
10,43,-4,t-4,0.021116867661476135
10,44,-3,t-3,0.02116318605840206
10,45,-2,t-2,0.021212518215179443
10,46,-1,t-1,0.021264471113681793
10,47,0,t,0.021315541118383408
11,0,-47,t-47,0.01873110607266426
11,1,-46,t-46,0.01918068900704384
11,2,-45,t-45,0.019768737256526947
11,3,-44,t-44,0.020253513008356094
11,4,-43,t-43,0.020579656586050987
11,5,-42,t-42,0.020785657688975334
11,6,-41,t-41,0.020911362022161484
11,7,-40,t-40,0.02098616398870945
11,8,-39,t-39,0.02102803625166416
11,9,-38,t-38,0.021046767011284828
11,10,-37,t-37,0.021048258990049362
11,11,-36,t-36,0.02103760838508606
11,12,-35,t-35,0.021015923470258713
11,13,-34,t-34,0.020988434553146362
11,14,-33,t-33,0.02095821686089039
11,15,-32,t-32,0.02093033492565155
11,16,-31,t-31,0.020906107500195503
11,17,-30,t-30,0.020887676626443863
11,18,-29,t-29,0.020876074209809303
11,19,-28,t-28,0.020872673019766808
11,20,-27,t-27,0.02087382599711418
11,21,-26,t-26,0.020877184346318245
11,22,-25,t-25,0.0208805613219738
11,23,-24,t-24,0.020883115008473396
11,24,-23,t-23,0.02088172547519207
11,25,-22,t-22,0.020876266062259674
11,26,-21,t-21,0.02086578495800495
11,27,-20,t-20,0.02085302397608757
11,28,-19,t-19,0.02084420807659626
11,29,-18,t-18,0.0208443570882082
11,30,-17,t-17,0.020852267742156982
11,31,-16,t-16,0.020867547020316124
11,32,-15,t-15,0.020886629819869995
11,33,-14,t-14,0.020906880497932434
11,34,-13,t-13,0.02092663012444973
11,35,-12,t-12,0.020945124328136444
11,36,-11,t-11,0.02095966599881649
11,37,-10,t-10,0.020972561091184616
11,38,-9,t-9,0.020984554663300514
11,39,-8,t-8,0.02099868468940258
11,40,-7,t-7,0.02101750299334526
11,41,-6,t-6,0.02104339562356472
11,42,-5,t-5,0.021077319979667664
11,43,-4,t-4,0.021119708195328712
11,44,-3,t-3,0.021166950464248657
11,45,-2,t-2,0.02121671475470066
11,46,-1,t-1,0.021267494186758995
11,47,0,t,0.021317273378372192
12,0,-47,t-47,0.018727943301200867
12,1,-46,t-46,0.019176984205842018
12,2,-45,t-45,0.01976626180112362
12,3,-44,t-44,0.0202536229044199
12,4,-43,t-43,0.020581435412168503
12,5,-42,t-42,0.02078661136329174
12,6,-41,t-41,0.02091231942176819
12,7,-40,t-40,0.020985037088394165
12,8,-39,t-39,0.02102668024599552
12,9,-38,t-38,0.02104642614722252
12,10,-37,t-37,0.021049104630947113
12,11,-36,t-36,0.021039022132754326
12,12,-35,t-35,0.02101822942495346
12,13,-34,t-34,0.02098872698843479
12,14,-33,t-33,0.020957600325345993
12,15,-32,t-32,0.020928695797920227
12,16,-31,t-31,0.020905843004584312
12,17,-30,t-30,0.020888183265924454
12,18,-29,t-29,0.02087591215968132
12,19,-28,t-28,0.0208701454102993
12,20,-27,t-27,0.02087119035422802
12,21,-26,t-26,0.02087479643523693
12,22,-25,t-25,0.020877188071608543
12,23,-24,t-24,0.02087770216166973
12,24,-23,t-23,0.020875995978713036
12,25,-22,t-22,0.020870842039585114
12,26,-21,t-21,0.020863991230726242
12,27,-20,t-20,0.02085570991039276
12,28,-19,t-19,0.02084975875914097
12,29,-18,t-18,0.02084968611598015
12,30,-17,t-17,0.020857712253928185
12,31,-16,t-16,0.02087060548365116
12,32,-15,t-15,0.020889218896627426
12,33,-14,t-14,0.020910441875457764
12,34,-13,t-13,0.020931249484419823
12,35,-12,t-12,0.020950067788362503
12,36,-11,t-11,0.020965170115232468
12,37,-10,t-10,0.020975299179553986
12,38,-9,t-9,0.020985670387744904
12,39,-8,t-8,0.02099853940308094
12,40,-7,t-7,0.021018579602241516
12,41,-6,t-6,0.02104531228542328
12,42,-5,t-5,0.02107822895050049
12,43,-4,t-4,0.021118080243468285
12,44,-3,t-3,0.0211650300770998
12,45,-2,t-2,0.021214457228779793
12,46,-1,t-1,0.0212636087089777
12,47,0,t,0.02131093479692936
13,0,-47,t-47,0.018726171925663948
13,1,-46,t-46,0.019173650071024895
13,2,-45,t-45,0.019760824739933014
13,3,-44,t-44,0.020249590277671814
13,4,-43,t-43,0.020580951124429703
13,5,-42,t-42,0.020788025110960007
13,6,-41,t-41,0.020912321284413338
13,7,-40,t-40,0.020983746275305748
13,8,-39,t-39,0.021022243425250053
13,9,-38,t-38,0.021041490137577057
13,10,-37,t-37,0.021046116948127747
13,11,-36,t-36,0.021038997918367386
13,12,-35,t-35,0.02102026157081127
13,13,-34,t-34,0.02099277265369892
13,14,-33,t-33,0.020960314199328423
13,15,-32,t-32,0.0209305752068758
13,16,-31,t-31,0.020905857905745506
13,17,-30,t-30,0.020888706669211388
13,18,-29,t-29,0.020876724272966385
13,19,-28,t-28,0.020869573578238487
13,20,-27,t-27,0.02086787112057209
13,21,-26,t-26,0.020872320979833603
13,22,-25,t-25,0.02087671495974064
13,23,-24,t-24,0.02087765373289585
13,24,-23,t-23,0.02087332122027874
13,25,-22,t-22,0.02086627669632435
13,26,-21,t-21,0.02085776999592781
13,27,-20,t-20,0.020852169021964073
13,28,-19,t-19,0.020850563421845436
13,29,-18,t-18,0.02085297927260399
13,30,-17,t-17,0.02086034044623375
13,31,-16,t-16,0.020872583612799644
13,32,-15,t-15,0.020887969061732292
13,33,-14,t-14,0.02090834639966488
13,34,-13,t-13,0.020931288599967957
